epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.373,1.20455,1.94276,1.4416,0.60255,0.3985,0.34234,0.18091,1.45797,1.5466,1.73643,0.000415412,0.000415412,0.000415412
2,263.552,1.30992,1.61071,1.52296,0.80523,0.29772,0.31775,0.16811,1.53003,1.64993,1.77766,0.00079089,0.00079089,0.00079089
3,374.544,1.32943,1.51574,1.53115,0.60687,0.3537,0.3372,0.17679,1.5169,1.76165,1.79082,0.00112512,0.00112512,0.00112512
4,485.024,1.29965,1.44313,1.51259,0.77627,0.3189,0.35595,0.19612,1.48223,1.31881,1.69771,0.00106437,0.00106437,0.00106437
5,593.692,1.22958,1.33336,1.45859,0.69391,0.37514,0.39114,0.21675,1.40054,1.26269,1.6725,0.0010025,0.0010025,0.0010025
6,703.779,1.18116,1.26161,1.42516,0.66172,0.44056,0.40094,0.21589,1.32796,1.29067,1.55247,0.000940625,0.000940625,0.000940625
7,813.811,1.14326,1.19257,1.39777,0.66955,0.43706,0.43575,0.24338,1.32352,1.0973,1.56069,0.00087875,0.00087875,0.00087875
8,926.08,1.10805,1.13976,1.36705,0.85512,0.42826,0.48264,0.27723,1.19974,1.03027,1.4435,0.000816875,0.000816875,0.000816875
9,1038.43,1.07687,1.09859,1.347,0.77678,0.41376,0.46849,0.2689,1.26808,1.05208,1.5077,0.000755,0.000755,0.000755
10,1147.74,1.06316,1.06444,1.33685,0.74944,0.46945,0.49707,0.29165,1.21535,0.97975,1.48435,0.000693125,0.000693125,0.000693125
11,1256.72,1.11157,1.01604,1.37337,0.75686,0.48137,0.50369,0.30874,1.15901,0.92391,1.43747,0.00063125,0.00063125,0.00063125
12,1362.01,1.0823,0.96632,1.35216,0.70312,0.49998,0.51578,0.31092,1.1159,0.88482,1.39225,0.000569375,0.000569375,0.000569375
13,1467.09,1.05364,0.90111,1.31995,0.72121,0.51967,0.50619,0.30136,1.13166,0.87208,1.43563,0.0005075,0.0005075,0.0005075
14,1572.19,1.02602,0.87072,1.30245,0.84991,0.49967,0.55169,0.32791,1.10481,0.82793,1.39253,0.000445625,0.000445625,0.000445625
15,1677.81,0.99176,0.8273,1.27378,0.73144,0.54063,0.55418,0.34077,1.07467,0.81117,1.36012,0.00038375,0.00038375,0.00038375
16,1783.4,0.96461,0.7953,1.25771,0.75562,0.5421,0.57884,0.35374,1.0677,0.75916,1.34819,0.000321875,0.000321875,0.000321875
17,1889,0.9375,0.75566,1.23197,0.82881,0.51238,0.59712,0.37184,1.06396,0.75573,1.34774,0.00026,0.00026,0.00026
18,1993.98,0.91083,0.72384,1.20689,0.85481,0.51494,0.5946,0.37358,1.03007,0.74212,1.32775,0.000198125,0.000198125,0.000198125
19,2100.03,0.89168,0.68634,1.19226,0.85378,0.52634,0.59643,0.37174,1.01177,0.7128,1.32464,0.00013625,0.00013625,0.00013625
20,2205.62,0.86614,0.66426,1.17773,0.83786,0.55657,0.61107,0.38297,1.00655,0.70876,1.30337,7.4375e-05,7.4375e-05,7.4375e-05
